id;id_n_fe;crt;percentual_icms;uf_emitente;uf_destinatario;valor_item;valor_ipi;valor_frete;valor_seguro;valor_outros;cfop;cnpj_emitente;cnpj_destinatario;categoria;cst;norma_execucao
1;Bedfordshire SMS;14625;49893;recontextualize;local firewall;68072;89987;87117;77903;84782;87340;platforms national;esmeralda specifically esmeralda;salmão;Crianças Avon;ametista
2;Developer Beleza;9776;36424;Dollar;Eslovênia BCEAO Cross-group;9381;78060;52271;93675;82444;89869;synergy De-engineered;Calças Designer synthesizing;embrace;Saúde Human Fundamental;out-of-the-box
3;deposit;46645;43999;User-friendly static;relationships Incrível ADP;16605;6789;69124;22533;39905;18363;Borracha Customer Rodovia;applications;Rua;Bedfordshire application impactful;bypassing intuitive invoice
4;Cambridgeshire foreground;44175;49139;Avon;deposit parsing;64509;59912;73454;8224;90691;77401;deposit;Sapatos;asynchronous Functionality;Pequeno à;reboot
5;Kuwaiti;21936;4570;convergence;explicit multi-byte Interface;45257;1613;93529;44224;90887;49391;Berkshire Corporate;protocol project;Plástico Forward Argentina;Forward Strategist;strategy value-added
6;Sapatos;20971;61219;customized;monitor programming;19651;64283;39689;78885;52155;36777;calculating bronze à;input Gostoso pele;à emulation;monitor Rodovia;redundant
7;Kroon SDD Loan;66236;12711;digital Legacy;didactic;64569;96287;74392;1452;92495;64368;Alameda;seize Carro;roxo;Rodovia;Frango executive
8;Berkshire Account Borracha;42839;65385;Ferramentas schemas;Product matrix;93078;41849;71569;65561;15106;34807;Impressionante Direct;Amapá;Progressive China engage;Card coral calculate;primary Calças
9;index invoice Borders;67441;63660;Granito Goiás FTP;laranja Groelândia;89520;254;8465;61754;79729;80182;copy local Jóias;Auto azul;Technician Madeira;FTP Bermuda;Algodão
10;Avon Barém;66770;5058;sexy relationships Ergonômico;dedicated loyalty;7918;5713;57324;99467;62359;51112;payment RAM;Suíça USB ;Lustroso Macio;mesh;protocol payment
