id;id_nfe;crt;uf_emitente;uf_destinatario;valor_item;valor_ipi;valor_frete;valor_seguro;valor_outros;cnpj_emitente;cnpj_destinatario;categoria;norma_execucao
1;empower;9995;payment Peixe;preto Myanmar;49317;39717;61257;26492;85470;Zimbabwe;Organic payment;indexing;Avon Dynamic
2;Esportes Fresco Inteligente;61902;generating Licenciado hacking;Gostoso;61215;71051;62234;3095;49262;Queijo Alameda;Investment;Fresco radical Chief;Eletrônicos
3;hard invoice;11284;brand âmbar standardization;sensor deposit action-items;78519;6829;20055;55635;51007;Nepalese;Synergistic Directives leverage;Loan Filmes;back-end
4;Forint;11656;bluetooth Corporate;Ergonômico;4069;41023;44524;42038;82001;Investment Account port;Product payment lilás;protocol Account;De-engineered
5;Salsicha Borders open-source;62591;Avenida;Mato RSS Denar;28128;61152;64642;37296;2168;override Cuba synergize;payment solid open-source;Cambridgeshire;Saúde
6;intangible;43614;open-source Luvas;reinvent Account Federal;19960;45222;33320;2261;62272;RAM;payment interface Licenciado;Security Industrial Suíça;one-to-one Account state
7;access;48383;Iêmen e-commerce Alagoas;Cross-group EXE;19972;45271;18310;64511;71827;National;Agent Fantástico capacity;Avon open-source Future-proofed;payment Fresco Beleza
8;Lead supply-chains Buckinghamshire;72895;Planner Future-proofed;Sapatos;58383;51346;93826;1298;46973;withdrawal;sensor Livros;Genérico esmeralda;payment payment Developer
9;payment;38045;Travessa Dynamic Pernambuco;Rodovia Kuwait;99005;78040;42498;3378;74102;optical Myanmar Consultant;Samoa;Ergonômico Infrastructure connect;Lead Santa Gostoso
10;Cambridgeshire optical;60887;program;Ferramentas;31817;3742;66964;60707;53833;multi-byte partnerships convergence;Intranet;do moratorium Marginal;Rodovia Personal
